#Table1
u,g,r,i,z,class,redshift,plate,mjd,fiberid
19.50518,18.20571,17.54491,17.17169,16.95512,GALAXY,0.169854,2529,54585,97
19.39897,17.49898,16.64902,16.22366,15.92805,GALAXY,0.05746174,1688,53462,230
17.72541,16.37512,16.42363,16.47462,16.5097,STAR,0.000246026,3426,54977,49
18.00908,16.56121,15.89122,15.5296,15.26758,GALAXY,0.03701709,2531,54572,213
19.55992,19.1124,19.10756,18.86743,18.86153,QSO,0.5834238,2530,53881,57
19.38792,17.65075,16.97299,16.72918,16.6217,STAR,-9.996233E-05,2183,53536,333
17.03814,16.94905,16.94939,16.67956,16.84394,QSO,0.2290608,1732,53501,251
19.26311,17.92684,17.28935,16.93129,16.72384,GALAXY,0.06737268,1732,53501,256
16.86048,15.57386,15.48667,15.44704,15.44331,STAR,-5.918979E-05,2183,53536,532
18.76607,17.56783,16.97699,16.62691,16.42563,GALAXY,0.09947869,2529,54585,586
17.3831,16.14054,15.67359,15.50329,15.43541,STAR,-0.0001795593,3298,54924,209
18.01915,16.89281,16.38353,16.19626,16.09539,STAR,-0.0001761658,3298,54924,210
17.70601,16.25667,15.70369,15.50577,15.43047,STAR,-1.401753E-05,2178,54629,33
19.43265,18.21233,17.48679,17.08294,16.84881,GALAXY,0.1298759,2209,53907,300
18.11716,16.06011,15.12398,14.63881,14.29158,GALAXY,0.06071581,4183,55447,20
18.10715,16.8521,16.30808,15.95756,15.69482,GALAXY,0.04107752,2529,54585,197
18.57829,17.52049,17.05612,16.86563,16.76577,STAR,0.0001550057,3426,54977,108
19.5016,18.04066,17.3754,16.98697,16.72066,GALAXY,0.06040677,1415,52885,519
19.43207,18.18672,17.61481,17.43156,17.33636,STAR,0.0003368672,3426,54977,75
19.03665,17.87042,17.32549,17.1004,17.01478,STAR,-0.000998057,2183,53536,402
19.05902,18.55936,17.95519,17.43674,17.3192,QSO,0.1747584,345,51690,583
17.39763,16.22542,15.74255,15.54523,15.44725,STAR,-0.0002714639,345,51690,586
18.63214,17.03507,16.27731,15.9094,15.64428,GALAXY,0.06366909,345,51690,79
18.08976,16.93278,16.50154,16.23186,16.0312,GALAXY,0.03490828,1415,52885,281
18.59717,17.14004,16.57955,16.33955,16.21417,STAR,-0.0003864295,2182,53905,85
18.76358,17.74158,17.41168,17.28528,17.23399,STAR,5.227747E-06,2182,53905,44
18.47207,17.13261,16.56864,16.22882,15.99113,GALAXY,0.05784918,2202,53566,73
18.70404,17.61316,17.11018,16.91049,16.85964,STAR,-0.0006602199,3426,54977,134
19.47484,18.24333,18.14843,18.13334,18.17102,STAR,-0.0004877917,4177,55688,108
17.27005,16.28446,16.08402,16.00695,16.01468,STAR,-0.0002118759,2178,54629,586
19.02562,17.77287,17.21948,16.89484,16.7005,GALAXY,0.05382031,1415,52885,510
18.79649,18.68092,18.40334,18.41647,18.55055,QSO,1.374982,2207,53558,605
19.27161,17.87133,17.18349,16.79926,16.48366,GALAXY,0.09939615,2531,54572,295
19.11319,18.40467,17.70531,17.21192,16.99352,QSO,0.1979302,2528,54571,20
19.37461,18.25513,17.82724,17.57371,17.52289,GALAXY,0.03934906,1688,53462,579
19.59524,17.67892,16.73691,16.30513,15.92995,GALAXY,0.06071372,345,51690,106
17.70986,16.32761,15.73479,15.48181,15.35825,STAR,0.000161311,3290,54941,232
18.23352,16.28529,15.34548,14.83772,14.43685,GALAXY,0.0488678,1688,53462,306
18.80016,17.84735,17.56468,17.45019,17.41782,STAR,-0.0006437022,5016,55709,466
19.20832,17.74423,17.23236,16.96878,16.92195,GALAXY,0.03139454,1688,53462,317
17.06594,15.9293,15.91397,15.93746,15.97662,STAR,-0.0008179776,1569,53168,548
19.43471,18.18505,17.75722,17.42817,17.30127,GALAXY,0.09602161,1569,53168,221
18.18864,16.91683,17.03512,17.14021,17.1978,STAR,2.596368E-05,3298,54924,189
17.42186,16.40859,16.16368,16.0963,16.11105,STAR,-0.0001621716,2178,54629,576
18.40578,16.8437,16.18497,15.8354,15.69572,GALAXY,0.05078093,1688,53462,452
19.37433,19.04699,15.19741,17.80028,17.81084,GALAXY,0.7424367,2208,53880,171
19.56997,17.44946,16.36201,15.82359,15.4506,GALAXY,0.1169517,345,51690,483
17.5825,16.59574,16.29045,16.15839,16.12617,STAR,-0.0009197676,2178,54629,95
19.58444,17.62997,16.61464,16.13088,15.74245,GALAXY,0.09303132,5004,55711,428
18.91985,17.15999,16.45345,16.18292,16.03619,STAR,8.872111E-05,2178,54629,94
18.32657,16.94589,16.35949,16.11069,15.98339,STAR,-0.0002447634,3290,54941,392
19.461,18.37761,17.87916,17.55396,17.34636,GALAXY,0.04937574,345,51690,167
18.28904,17.14384,16.69178,16.53083,16.46716,STAR,9.875976E-05,1731,53884,380
19.41501,18.42953,18.27253,18.13426,17.8596,QSO,2.564328,4896,55712,426
18.57032,17.60931,17.26721,17.14291,17.05131,STAR,-0.001046155,2178,54629,571
18.93326,17.51142,16.90753,16.64013,16.48621,STAR,9.929183E-05,3290,54941,407
17.78032,16.3692,15.73107,20.41929,15.49522,STAR,-5.569548E-05,1731,53884,435
18.6758,17.55153,17.06962,16.79565,16.59368,GALAXY,0.03054456,1688,53462,569
19.12582,18.01985,17.57048,17.4006,17.32908,STAR,-0.0001992207,2180,54613,82
17.32537,15.87315,15.1634,14.76079,14.43446,GALAXY,0.04184556,1730,53498,59
19.3611,18.41658,18.09129,17.96777,17.90233,STAR,-0.0003050517,4896,55712,608
18.55107,17.17974,16.57175,16.34451,16.23953,STAR,-0.0002398548,3426,54977,172
16.65189,15.59051,15.18968,15.04878,14.98054,STAR,-0.0009377368,2178,54629,169
18.35434,17.09916,16.49661,16.20484,16.03421,GALAXY,0.0330619,1569,53168,301
18.35641,16.53646,15.72104,15.32286,15.023,GALAXY,0.03272505,2528,54571,542
19.03441,17.44816,16.72469,16.41706,16.17486,STAR,0.0001905513,2180,54613,2
18.32753,16.27896,15.33193,14.86648,14.52532,GALAXY,0.05801063,345,51690,423
